asciiname	frequency
alfkhary	{'pattern': 'alfkhary', 'count': 0}
الفخاري	{'pattern': 'الفخاري', 'count': 0}
Wadi as Salqa	{'pattern': 'Wadi\\ as\\ Salqa', 'count': 0}
Wadi as Salga	{'pattern': 'Wadi\\ as\\ Salga', 'count': 0}
Wādī as Salgā	{'pattern': 'Wādī\\ as\\ Salgā', 'count': 0}
Wādī as Salqā	{'pattern': 'Wādī\\ as\\ Salqā', 'count': 0}
wady alslqa	{'pattern': 'wady\\ alslqa', 'count': 0}
وادي السلقا	{'pattern': 'وادي\\ السلقا', 'count': 0}
Juhr ad Dik	{'pattern': 'Juhr\\ ad\\ Dik', 'count': 0}
Juhor ad Dik	{'pattern': 'Juhor\\ ad\\ Dik', 'count': 0}
Juḩr ad Dīk	{'pattern': 'Juḩr\\ ad\\ Dīk', 'count': 0}
jhr aldyk	{'pattern': 'jhr\\ aldyk', 'count': 0}
جحر الديك	{'pattern': 'جحر\\ الديك', 'count': 0}
Umm an Nasr	{'pattern': 'Umm\\ an\\ Nasr', 'count': 0}
Al Qaryah al Badawiyah al Maslakh	{'pattern': 'Al\\ Qaryah\\ al\\ Badawiyah\\ al\\ Maslakh', 'count': 0}
Umm an Naşr	{'pattern': 'Umm\\ an\\ Naşr', 'count': 0}
alqryt albdwyt almslkh	{'pattern': 'alqryt\\ albdwyt\\ almslkh', 'count': 0}
am alnsr	{'pattern': 'am\\ alnsr', 'count': 0}
أم النصر	{'pattern': 'أم\\ النصر', 'count': 0}
القرية البدوية المسلخ	{'pattern': 'القرية\\ البدوية\\ المسلخ', 'count': 0}
Al Musaddar	{'pattern': 'Al\\ Musaddar', 'count': 0}
Al Muşaddar	{'pattern': 'Al\\ Muşaddar', 'count': 0}
almsdr	{'pattern': 'almsdr', 'count': 0}
المصدر	{'pattern': 'المصدر', 'count': 0}
Al Mawasi	{'pattern': 'Al\\ Mawasi', 'count': 1}
Al Mawāsī	{'pattern': 'Al\\ Mawāsī', 'count': 0}
El-Mawasi	{'pattern': 'El\\-Mawasi', 'count': 0}
almwasy	{'pattern': 'almwasy', 'count': 0}
المواصي	{'pattern': 'المواصي', 'count': 1}
Al-Shifa Hospital	{'pattern': 'Al\\-Shifa\\ Hospital', 'count': 360}
Al'-Shifa	"{'pattern': ""Al'\\-Shifa"", 'count': 0}"
Al-Shifa Ospitalea	{'pattern': 'Al\\-Shifa\\ Ospitalea', 'count': 0}
Al-Shifa ziekenhuis	{'pattern': 'Al\\-Shifa\\ ziekenhuis', 'count': 0}
As-Sifa	{'pattern': 'As\\-Sifa', 'count': 0}
Aš-Šifá	{'pattern': 'Aš\\-Šifá', 'count': 0}
Benh vien Al-Shifa	{'pattern': 'Benh\\ vien\\ Al\\-Shifa', 'count': 0}
Bolnisnica Al Sifa	{'pattern': 'Bolnisnica\\ Al\\ Sifa', 'count': 0}
Bolnišnica Al Šifa	{'pattern': 'Bolnišnica\\ Al\\ Šifa', 'count': 0}
Bệnh viện Al-Shifa	{'pattern': 'Bệnh\\ viện\\ Al\\-Shifa', 'count': 0}
Gazze Sifa Hastanesi	{'pattern': 'Gazze\\ Sifa\\ Hastanesi', 'count': 0}
Gazze Şifa Hastanesi	{'pattern': 'Gazze\\ Şifa\\ Hastanesi', 'count': 0}
Hospital Al-Shifa	{'pattern': 'Hospital\\ Al\\-Shifa', 'count': 0}
Mustashfa al-Shifa	{'pattern': 'Mustashfa\\ al\\-Shifa', 'count': 0}
Ospedale Al-Shifa	{'pattern': 'Ospedale\\ Al\\-Shifa', 'count': 0}
Rumah Sakit Al-Shifa	{'pattern': 'Rumah\\ Sakit\\ Al\\-Shifa', 'count': 0}
Shifa-sykehuset	{'pattern': 'Shifa\\-sykehuset', 'count': 0}
Valetudinarium al-Shifa	{'pattern': 'Valetudinarium\\ al\\-Shifa', 'count': 0}
Ysbyty Al-Shifa	{'pattern': 'Ysbyty\\ Al\\-Shifa', 'count': 0}
al-Schifa-Krankenhaus	{'pattern': 'al\\-Schifa\\-Krankenhaus', 'count': 0}
al-cipa maruttuvamanai	{'pattern': 'al\\-cipa\\ maruttuvamanai', 'count': 0}
ala-sipha hasapatala	{'pattern': 'ala\\-sipha\\ hasapatala', 'count': 0}
alsipa byeong-won	{'pattern': 'alsipa\\ byeong\\-won', 'count': 0}
bymarstan alshfa	{'pattern': 'bymarstan\\ alshfa', 'count': 0}
hopital Al-Shifa	{'pattern': 'hopital\\ Al\\-Shifa', 'count': 0}
hospitalo Al-Sifa	{'pattern': 'hospitalo\\ Al\\-Sifa', 'count': 0}
hospitalo Al-Ŝifa	{'pattern': 'hospitalo\\ Al\\-Ŝifa', 'count': 0}
hôpital Al-Shifa	{'pattern': 'hôpital\\ Al\\-Shifa', 'count': 0}
rong phyabal xach chifax	{'pattern': 'rong\\ phyabal\\ xach\\ chifax', 'count': 0}
xi fa yi yuan	{'pattern': 'xi\\ fa\\ yi\\ yuan', 'count': 0}
Аль-Шифа	{'pattern': 'Аль\\-Шифа', 'count': 0}
בית החולים שיפא	{'pattern': 'בית\\ החולים\\ שיפא', 'count': 1}
بیمارستان الشفا	{'pattern': 'بیمارستان\\ الشفا', 'count': 0}
مجمع الشفاء الطبي	{'pattern': 'مجمع\\ الشفاء\\ الطبي', 'count': 1}
আল-শিফা হাসপাতাল	{'pattern': 'আল\\-শিফা\\ হাসপাতাল', 'count': 0}
அல்-சிபா மருத்துவமனை	{'pattern': 'அல்\\-சிபா\\ மருத்துவமனை', 'count': 0}
โรงพยาบาลอัชชิฟาอ์	{'pattern': 'โรงพยาบาลอัชชิฟาอ์', 'count': 0}
アル・シファ病院	{'pattern': 'アル・シファ病院', 'count': 0}
希法医院	{'pattern': '希法医院', 'count': 0}
알시파 병원	{'pattern': '알시파\\ 병원', 'count': 0}
Umm Jarrah	{'pattern': 'Umm\\ Jarrah', 'count': 0}
Umm Jerra	{'pattern': 'Umm\\ Jerra', 'count': 0}
Musabbih	{'pattern': 'Musabbih', 'count': 0}
Musebbeh	{'pattern': 'Musebbeh', 'count': 0}
Muşabbiḩ	{'pattern': 'Muşabbiḩ', 'count': 0}
Ard Rafah	{'pattern': 'Ard\\ Rafah', 'count': 0}
Al Qubbah	{'pattern': 'Al\\ Qubbah', 'count': 0}
El Qubbe	{'pattern': 'El\\ Qubbe', 'count': 0}
Al Junaynah	{'pattern': 'Al\\ Junaynah', 'count': 0}
El Juneine	{'pattern': 'El\\ Juneine', 'count': 0}
Al Ghabah	{'pattern': 'Al\\ Ghabah', 'count': 0}
Al Ghābah	{'pattern': 'Al\\ Ghābah', 'count': 0}
El-Ghabe	{'pattern': 'El\\-Ghabe', 'count': 0}
Al Filahah	{'pattern': 'Al\\ Filahah', 'count': 0}
Al Filāḩah	{'pattern': 'Al\\ Filāḩah', 'count': 0}
Al-Filaha	{'pattern': 'Al\\-Filaha', 'count': 0}
El Filaha	{'pattern': 'El\\ Filaha', 'count': 0}
Abu Himar	{'pattern': 'Abu\\ Himar', 'count': 0}
Abu Himer	{'pattern': 'Abu\\ Himer', 'count': 0}
Abū Ḩimār	{'pattern': 'Abū\\ Ḩimār', 'count': 0}
Abu 'Awdah	"{'pattern': ""Abu\\ 'Awdah"", 'count': 0}"
Abu `Auda	{'pattern': 'Abu\\ `Auda', 'count': 0}
Abu `Awdah	{'pattern': 'Abu\\ `Awdah', 'count': 0}
Abu `Ode	{'pattern': 'Abu\\ `Ode', 'count': 0}
Abu ‘Auda	{'pattern': 'Abu\\ ‘Auda', 'count': 0}
Abu ‘Ode	{'pattern': 'Abu\\ ‘Ode', 'count': 0}
Abū ‘Awdah	{'pattern': 'Abū\\ ‘Awdah', 'count': 0}
Arab al Qila'i	"{'pattern': ""Arab\\ al\\ Qila'i"", 'count': 0}"
Abu Mu'ammar	"{'pattern': ""Abu\\ Mu'ammar"", 'count': 0}"
Umm al Kilab	{'pattern': 'Umm\\ al\\ Kilab', 'count': 0}
Umm al Kilāb	{'pattern': 'Umm\\ al\\ Kilāb', 'count': 0}
Umm el-Kilab	{'pattern': 'Umm\\ el\\-Kilab', 'count': 0}
aum alkilab	{'pattern': 'aum\\ alkilab', 'count': 0}
أُم الكِلاب	{'pattern': 'أُم\\ الكِلاب', 'count': 0}
Saknat az Zarqa'	"{'pattern': ""Saknat\\ az\\ Zarqa'"", 'count': 0}"
Saknat az Zarqā’	{'pattern': 'Saknat\\ az\\ Zarqā’', 'count': 0}
Rafiah Yam	{'pattern': 'Rafiah\\ Yam', 'count': 0}
Rafiaẖ Yam	{'pattern': 'Rafiaẖ\\ Yam', 'count': 0}
Qizan an Najjar	{'pattern': 'Qizan\\ an\\ Najjar', 'count': 0}
Qazan an Najjar	{'pattern': 'Qazan\\ an\\ Najjar', 'count': 0}
Qazān an Najjār	{'pattern': 'Qazān\\ an\\ Najjār', 'count': 0}
Qīzān an Najjār	{'pattern': 'Qīzān\\ an\\ Najjār', 'count': 0}
qyzan alnjar	{'pattern': 'qyzan\\ alnjar', 'count': 0}
قيزان النجار	{'pattern': 'قيزان\\ النجار', 'count': 0}
Qa' al Qurayn	"{'pattern': ""Qa'\\ al\\ Qurayn"", 'count': 0}"
Qa` al Qurayn	{'pattern': 'Qa`\\ al\\ Qurayn', 'count': 0}
Qa` al Qurein	{'pattern': 'Qa`\\ al\\ Qurein', 'count': 0}
Qa` el-Qurein	{'pattern': 'Qa`\\ el\\-Qurein', 'count': 0}
Qa‘ al Qurein	{'pattern': 'Qa‘\\ al\\ Qurein', 'count': 0}
Qa‘ el-Qurein	{'pattern': 'Qa‘\\ el\\-Qurein', 'count': 0}
Qā‘ al Qurayn	{'pattern': 'Qā‘\\ al\\ Qurayn', 'count': 0}
قاع القرين	{'pattern': 'قاع\\ القرين', 'count': 0}
Nahal Qatif	{'pattern': 'Nahal\\ Qatif', 'count': 0}
Katif	{'pattern': 'Katif', 'count': 0}
Nahal-Katif	{'pattern': 'Nahal\\-Katif', 'count': 0}
Naḥal Qatif	{'pattern': 'Naḥal\\ Qatif', 'count': 0}
Umm Kamil	{'pattern': 'Umm\\ Kamil', 'count': 0}
Mukhaymil	{'pattern': 'Mukhaymil', 'count': 0}
Mukheimil	{'pattern': 'Mukheimil', 'count': 0}
Umm Kamīl	{'pattern': 'Umm\\ Kamīl', 'count': 0}
aum kmyl	{'pattern': 'aum\\ kmyl', 'count': 0}
أُم كميل	{'pattern': 'أُم\\ كميل', 'count': 0}
An Nazlah	{'pattern': 'An\\ Nazlah', 'count': 0}
El Nesleh	{'pattern': 'El\\ Nesleh', 'count': 0}
En Nazle	{'pattern': 'En\\ Nazle', 'count': 0}
En Nezle	{'pattern': 'En\\ Nezle', 'count': 0}
Nazla	{'pattern': 'Nazla', 'count': 0}
Nazlah	{'pattern': 'Nazlah', 'count': 0}
Nuzle	{'pattern': 'Nuzle', 'count': 0}
Al Mashahirah	{'pattern': 'Al\\ Mashahirah', 'count': 0}
Al Mashahira	{'pattern': 'Al\\ Mashahira', 'count': 0}
Al Mashāhirah	{'pattern': 'Al\\ Mashāhirah', 'count': 0}
Qa' al Kharabah	"{'pattern': ""Qa'\\ al\\ Kharabah"", 'count': 0}"
Qa` al Kharabah	{'pattern': 'Qa`\\ al\\ Kharabah', 'count': 0}
Qa` el-Kharaba	{'pattern': 'Qa`\\ el\\-Kharaba', 'count': 0}
Qa‘ al Kharābah	{'pattern': 'Qa‘\\ al\\ Kharābah', 'count': 0}
Qa‘ el-Kharaba	{'pattern': 'Qa‘\\ el\\-Kharaba', 'count': 0}
Qā‘ al Kharābah	{'pattern': 'Qā‘\\ al\\ Kharābah', 'count': 0}
قاع الخَرابَة	{'pattern': 'قاع\\ الخَرابَة', 'count': 0}
